Date,number_of_tweets,avg_vader_sentiment_score
2013-07-11,14,0.47391428571428573
2013-07-12,12,0.5731083333333333
2013-07-13,50,0.319652
2013-07-14,31,0.42424193548387096
2013-07-15,13,0.12025384615384617
2013-07-16,36,0.3934944444444445
2013-07-17,59,0.46267118644067795
2013-07-18,34,0.15338529411764704
2013-07-19,23,0.3200652173913044
2013-07-21,9,0.5221777777777779
2013-07-22,16,0.429075
2013-07-23,42,0.06633571428571429
2013-07-24,95,0.1853873684210526
2013-07-25,25,0.161908
2013-07-26,21,0.2725047619047619
2013-07-27,10,0.35015999999999997
2013-07-28,19,0.4244894736842106
2013-07-29,27,0.3335037037037037
2013-07-30,14,0.3952714285714286
2013-07-31,29,0.17411379310344827
2013-08-01,41,0.3605317073170732
2013-08-02,28,0.21390714285714285
2013-08-03,1,0.0
2013-08-04,1,0.5267
2013-08-05,29,0.4289862068965517
2013-08-06,24,0.42481250000000004
2013-08-07,30,0.36585666666666666
2013-08-08,19,0.45288947368421056
2013-08-09,39,0.06352564102564102
2013-08-10,5,0.5177400000000001
2013-08-11,17,0.6154470588235295
2013-08-12,17,0.5713588235294118
2013-08-13,56,0.07760892857142856
2013-08-14,19,0.3969473684210526
2013-08-15,43,0.30200697674418603
2013-08-16,17,0.26752352941176466
2013-08-17,11,0.33203636363636363
2013-08-18,19,0.30870526315789476
2013-08-19,14,0.3178714285714285
2013-08-20,19,-0.10610526315789474
2013-08-21,38,0.04571315789473684
2013-08-22,37,0.19533513513513515
2013-08-23,7,0.5690000000000001
2013-08-24,6,0.47373333333333334
2013-08-25,22,0.008377272727272735
2013-08-26,17,0.040458823529411755
2013-08-27,10,0.08857999999999999
